0,0.01
799,25.90347
800,25.149,0.72
801,25.149,39.5
802,25.149,15.0
803,25.149
804,25.149,46.59
805,25.149,8.75
806,25.90347,1.1
807,25.149
808,25.90347
809,25.149,1.5
810,25.149,8.25
811,25.90347,32.0
812,25.149,0.9999
813,25.149,0.3688
814,25.149,65.0
815,25.149,48.0
816,25.149,58.0
817,25.149,5.9
818,25.149,16.0
819,25.149,33.0
820,25.90347,210.0
821,25.149,1.45
822,25.149,25.0
823,25.149,0.33
824,25.90347,68.0
825,25.149,0.49
826,25.149,1.2
827,25.149,18.0
828,22.6341
829,25.149,4.25
830,25.90347
831,20.1192,0.46
832,25.149,0.12
833,25.149,4.25
834,25.149,1.365
835,25.149,16.0
836,25.149,5.8
837,25.149,36.69
838,25.90347,2.39
839,25.149,0.666
840,25.149,0.42
841,25.149,0.69
842,20.1192,6.5
843,25.149,60.0
844,25.149,41.9
845,25.149,3.7
846,25.149
847,25.149
848,25.149
849,25.149
850,22.6341
851,25.149
852,25.149
853,25.149
854,25.149
855,20.1192
856,25.149
857,25.149
858,25.149
859,25.149
860,25.149
861,25.149
862,25.149
863,25.149
864,25.149
865,25.149
866,25.149
867,25.149
868,25.149
869,25.149
870,25.149
871,25.149
872,25.149
873,25.90347
874,25.149
875,25.149
876,25.149
877,25.149
878,25.90347
879,25.149
880,25.149
881,25.149
882,25.149
883,25.149
884,25.149
885,25.149
886,25.149,1.0
887,25.149,14.769
888,25.149,3.5
889,25.149,0.3
890,25.90347,26.0
891,25.90347,0.49
892,25.149,35.49
893,25.149,8.4
894,25.149,2.7
895,25.149,0.32
896,25.149
897,25.149
898,25.149
899,25.149
900,25.149
901,25.90347
902,25.149
903,25.149
904,25.149
905,25.149
906,22.6341
907,25.149
908,25.149
909,25.149
910,25.149
911,25.149
912,25.149
913,25.149
914,25.149
915,25.149
916,25.149
917,25.149,0.24
918,25.149,6.179
919,25.149,0.88
920,25.149,15.98
921,22.6341,0.3
922,25.149
923,25.149
924,25.149
925,25.149
926,25.149
927,25.149
928,22.6341
929,25.149
930,25.149
931,25.90347
932,20.1192
933,25.149
934,25.149
935,25.149
936,25.149
937,25.149
938,25.149
939,25.149
940,25.149
941,25.149
942,25.149,0.369
943,25.149,36.3
944,25.149,4.3
945,25.149
946,22.6341,3.7
947,25.149,1.9
948,25.149,1.49
949,25.149,6.9
950,25.90347,22.0
951,25.149,34.75
952,25.149,38.0
953,25.149,0.35
954,25.149,6.5
955,58.8888
956,25.149,13.75
957,25.149,0.35
958,25.149,1.25
959,25.149,50.0
960,20.1192,32.0
961,25.149,75.0
962,25.149,0.85
963,25.149,0.195
964,25.149
965,25.149,2.2
966,25.90347,37.251
967,25.149,0.5
968,25.149,11.0
969,25.149,0.1499
970,25.149,0.39
971,25.149
972,25.149
973,25.149
974,25.149
975,25.149
976,25.149
977,25.149
978,25.149
979,25.149
980,25.149
981,25.90347
982,25.149
983,25.149
984,25.149
985,25.149
986,25.149
987,25.149
988,25.149
989,25.149
990,25.149
991,25.149,10.0
992,25.149,42.0
993,22.6341,1.0
994,25.90347,2.55
995,50.0
996,25.149,0.7
997,20.1192
998,25.149,0.53
999,20.1192,0.32
1000,25.149,0.5
1001,25.149,1.15
1002,22.6341,36.9
1003,25.149,75.0
1004,25.149,35.0
1005,25.149,1.5
1006,22.6341,3.99
1007,25.149
1008,25.149,0.5
1009,25.149,38.7
1010,20.1192
1011,25.149
1012,25.149
1013,25.149
1014,20.1192
1015,25.149
1016,22.6341
1017,25.149,64.0
1018,25.149
1019,25.149
1020,25.149,0.35
1021,25.149,7.29
1022,25.149,7.0
1023,22.6341
1024,25.149
